Author_id,Name
1,MARK PO MORFORD
2,ROBERT J. LENARDON
3,RICHARD BRUCE WRIGHT
4,CARLO D'ESTE
5,GINA KOLATA
6,ELIZABETH WAYLAND BARBER
7,E. JW BARBER
8,AMY TAN
9,ROBERT COWLEY
10,SCOTT TUROW
11,STACY KEACH
12,DAVID CORDINGLY
13,ANN BEATTIE
14,DAVID ADAMS RICHARDS
15,KENSINGTON
16,SHEILA HETI
17,JR KAISER
18,JACK CANFIELD
19,MARK VICTOR HANSEN
20,JENNIFER READ HAW
21,LOREN D. ESTLEMAN
22,JOHN KENNETH
23,ROBERT HENDRICKSON
24,JULIA OLIVER
25,JOHN GRISHAM
26,TONI MORRISON
27,THE ONION
28,SCOTT DIKKERS
29,MIKE LOEW
30,CELIA BROOKS BROWN
31,JANE NORAIKA
32,PHILIP WEBB
33,JR PARRISH
34,MARY-KATE &AMP; ASHLEY OLSEN
35,ROBYNN CLAIRDAY
36,KATHLEEN DUEY
37,KAREN A. BALE
38,BILL DODGE
39,RICH SHAPERO
40,MICHAEL CRICHTON
41,CS LEWIS
42,ARTHUR PHILLIPS
43,STEPHEN JARAMILLO
44,MORDECAI RICHLER
45,MICHAEL PANOFSKY
46,ANETTE GRUBE
47,ELEANOR COONEY
48,DANIEL ALTIERI
49,CHARLOTTE LINK
50,RICHARD NORTH PATTERSON
51,KRISTIAN LUTZE
52,MARK SALZMAN
53,HARPER LEE
54,LAURA HILLENBRAND
55,BARBARA KINGSOLVER
56,JO DERESKE
57,JANE AUSTEN
58,DOLORES KRIEGER
59,ANNE RIVERS SIDDONS
60,DEAN KOONTZ
61,MARY HIGGINS CLARK
62,PATRICIA CORNWELL
63,JD ROBB
64,MAEVE BINCHY
65,LAURA J. MIXON
66,TIM LAHAYE
67,JERRY B. JENKINS
68,BERNIE S. SIEGEL MD
69,ROBERT PENN WARREN
70,HANS JOHANNES HOEFER
71,MARK HELPRIN
72,O. CARL SIMONTON MD
73,JAMES CREIGHTON PH.D.
74,STEPHA
75,CHUCK HILL
76,DAVID IGLEHART
77,LARRY MCMURTRY
78,SUZANNE FISHER STAPLES
79,MICHEL TOURNIER
80,CARL SAGAN
81,ALEKSANDR ZINOVIEV
82,ANNE TYLER
83,JOSEPH CONRAD
84,DEEPAK CHOPRA
85,MARTIN GREENBERG
86,THOMAS HARDY
87,CHARLES NOLAND
88,SHERRI BAKER
89,VALERIE FRANKEL
90,BENJAMIN HOFF
91,NICCOLO MACHIAVELLI
92,H. JACKSON BROWN JR.
93,ROBERT A. HEINLEIN
94,PHILIP PULLMAN
95,MICHAEL ONDAATJE
96,SANDRA LEVY CEREN
97,PJ O'ROURKE
98,MIKE GAYLE
99,STEL PAVLOU
100,SARAH PAYNE STUART
101,DAN QUAYLE
102,DONALD F. KETTL
103,DONALD KETTL
104,DAVID FRUM
105,LOUIS L'AMOUR
106,JD SALINGER
107,JOHN BERENDT
108,JENNIFER CRUSIE
109,JANE HELLER
110,MICHAEL RIPS
111,SIMON MAWER
112,WILLIAM ABRAHAMS
113,ROBERT T. KIYOSAKI
114,SHARON L. LECHTER
115,KEN FOLLETT
116,JOHN F. LOVE
117,ROBERT G. ALLEN
118,LOUIS DE BERNIERES
119,PAM PROCTOR
120,ALLEN M. SCHOEN
121,MITCH ALBOM
122,MICHAEL JAN FRIEDMAN
123,RONALD D. MOORE
124,GLENDON SWARTHOUT
125,NEAL BARRETT JR.
126,J. MICHAEL STRACZYNSKI
127,DAVID MORRELL
128,SANDRA BROWN
129,JAMES PATTERSON
130,PETER DE JONGE
131,STUART WOODS
132,IRIS JOHANSEN
133,DAN BROWN
134,JOE HUTSKO
135,ANITA SHREVE
136,ANN RULE
137,LEWIS GRIZZARD
138,PAUL THEROUX
139,CHARLES HICKEY
140,TODD LIGHTY
141,JOHN O'BRIEN
142,STEPHEN KING
143,BEN MEZRICH
144,BILL HAND
145,TOM CLANCY
146,DANA REEVE
147,ROY
148,BARBARA METZGER
149,GABRIEL GARCIA MARQUEZ
150,REBECCA WELLS
151,TONY HILLERMAN
152,ROBERT JAMES WALLER
153,RACHEL HARRIS
154,IAN MCEWAN
155,MICHAEL LEWIS
156,RICHARD ZIMLER
157,NORMAN JETMUNDSEN
158,LORENZO CARCATERRA
159,ANNE FRASIER
160,KAY HOOPER
161,DAPHNE DU MAURIER
162,NATHANIEL HAWTHORNE
163,LEO MARX
164,NICK PAGE
165,LAURA WOLF
166,LOIS DUNCAN
167,SUSAN GRANT
168,BARBARA VINE
169,SHIRLEY ROUSSEAU MURPHY
170,JANE LINDSKOLD
171,BETTY SMITH
172,CYBILL SHEPHERD
173,AIMEE LEE BALL
174,STEWART O'NAN
175,DAVID BALDACCI
176,DOUGLAS ADAMS
177,MARY LAWSON
178,WILLA CATHER
179,OLIVIA GOLDSMITH
180,HELEN FIELDING
181,DOVER THRIFT EDITIONS
182,FRANKLIN W. DIXON
183,LILIAN JACKSON BRAUN
184,HOLLY VIRDEN
185,MICHELLE MCKINNEY HAMMOND
186,H. NORMAN WRIGHT
187,PIERS ANTHONY
188,RAY BRADBURY
189,FRIEDRICH SCHILLER
190,WALTER SCHAFARSCHIK
191,PETER NAUJACK
192,RAYMOND CHANDLER
193,HANS WOLLSCHLÄGER
194,THOMAS SCHLÜCK
195,NORBERT WÖLFL
196,ALEXANDER SCHMITZ
197,JÜRGEN BAUER
198,ALASTAIR KER
199,PAULO COELHO
200,MARALDE MEYER-MINNEMANN
201,GABRIEL GARCÍA MÁRQUEZ
202,FAY WELDON
203,ARABELLA WEIR
204,KIANA DAVENPORT
205,MARGARETE LÄNGSFELD
206,SUE TOWNSEND
207,RENAN DEMIRKAN
208,MICHAEL MOORE
209,HELMUT DIERLAMM
210,HEIKE SCHLATTERER
211,JONATHAN FRANZEN
212,BETTINA ABARBANELL
213,ANNEMARIE BÖLL
214,HEINRICH BÖLL
215,ELISAB
216,JAMES JOYCE
217,JOANNA TROLLOPE
218,ANTOINETTE GITTINGER
219,MILAN KUNDERA
220,ARUNDHATI ROY
221,ROBERT S. LEVINSON
222,LORNA LANDVIK
223,ARTHUR GOLDEN
224,KENT HARUF
225,PATRICIA D CORNWELL
226,PATRICIA D. CORNWELL
227,CAROL J. FARLEY
228,TOM NEWSOM
229,KATHLEEN E. WOODIWISS
230,BELVA PLAIN
231,MARK HADDON
232,ANN BRASHARES
233,ERICH SEGAL
234,ELIZABETH ADLER
235,NICHOLAS SPARKS
236,JOHN SAUL
237,STEVE THAYER
238,TRACY CHEVALIER
239,JUDITH KELMAN
240,MICHAEL PALMER
241,FRANCINE HUGHES
242,NORMAN BRIDWELL
243,FRANK MCCOURT
244,MALACHY MCCOURT
245,MARI SANDOZ
246,ANNE PERRY
247,ALEXANDER MCCALL SMITH
248,BARBARA BERGMAN
249,GREGORY MAGUIRE
250,YANN MARTEL
251,RUTH RENDELL
252,AL FRANKEN
253,DONNA TARTT
254,JOHN MILNE
255,TERRY PRATCHETT
256,EB WHITE
257,GARTH WILLIAMS
258,JM BARRIE
259,MARY O'HARA
260,PAUL KIDBY
261,LOUISE RENNISON
262,KENNETH GRAHAME
263,BERNARD CORNWELL
264,CHARLES DE LINT
265,LORD DUNSANY
266,NEIL GAIMAN
267,GEORGETTE HEYER
268,OSCAR WILDE
269,JEFFREY EUGENIDES
270,TED HUGHES
271,ANDREW DAVIDSON
272,ROALD DAHL
273,QUENTIN BLAKE
274,DONNA JO NAPOLI
275,AS BYATT
276,TANUJA DESAI HIDIER
277,SOPHIE KINSELLA
278,ISABEL WOLFF
279,LOUISA MAY ALCOTT
280,MARGARET DRABBLE
281,GEORGE ORWELL
282,CHARLES DICKENS
283,ISABEL ALLENDE
284,ELLEN DATLOW
285,TERRI WINDLING
286,CHARLES VESS
287,NEIL GAIM
288,JOSEPH HELLER
289,JOHN GALSWORTHY
290,ENID BLYTON
291,ALAN MOORE
292,KEVIN O'NEILL
293,BEN DIMAGMALIW
294,SAM KIETH
295,MIKE DRINGENBERG
296,MALCOLM JON
297,JOHN BOLTON
